"Save Quote Database","Save Quote Database"
"If enabled, it can use a huge amount of disk space because it'll save all quotes in a database table, it's only recommended for testing purposes","If enabled, it can use a huge amount of disk space because it'll save all quotes in a database table, it's only recommended for testing purposes"
"Invoice Intelipost","Invoice Intelipost"
"Invoice Number","Invoice Number"
"Invoice Series","Invoice Series"
"Invoice Key","Invoice Key"
"Invoice Date","Invoice Date"
"Products Value","Products Value"
"Total Value","Total Value"
"CFOP","CFOP"
"Send","Send"
"Invoice Key with 44 digits","Invoice Key with 44 digits"
"Invoice Series with up to 3 digits","Invoice Series with up to 3 digits"
"Invoice Number with up to 9 digits","Invoice Number with up to 9 digits"
"Total products; you should use '.' as decimal separator, e.g. 1567.19","Total products; you should use '.' as decimal separator, e.g. 1567.19"
"Total order; you should use '.' as decimal separator, e.g. 1567.19","Total order; you should use '.' as decimal separator, e.g. 1567.19"
"Go Today","Go Today"
"Close Calendar","Close Calendar"
"Invoice successfully added!","Invoice successfully added!"
"It wasn't possible to add the Invoice File.","It wasn't possible to add the Invoice File."
"Order Shipments","Order Shipments"
"Order Increment Id","Order Increment Id"
"It's not possible to create a shipment on this order.","It's not possible to create a shipment on this order."
"Intelipost Tracking Status","Intelipost Tracking Status"
"Tracking Status","Tracking Status"
"Are you sure you want to send selected items to Intelipost?","Are you sure you want to send selected items to Intelipost?"
"Are you sure you want to ship selected items to Intelipost?","Are you sure you want to ship selected items to Intelipost?"
"Intelipost Invoices","Intelipost Invoices"
"If empty it'll get the store name","If empty it'll get the store name"
"If not selected it'll use taxvat attribute","If not selected it'll use taxvat attribute"
"Quantity of Days to add to Delivery Time","Quantity of Days to add to Delivery Time"
"You need to have this feature enabled on Intelipost","You need to have this feature enabled on Intelipost"
"It'll create the shipment in the store after when the creating the order on Intelipost","It'll create the shipment in the store after when the creating the order on Intelipost"
"When marking the order as Ready to Ship on Intelipost, it'll change the order status","When marking the order as Ready to Ship on Intelipost, it'll change the order status"
"When creating the order on Intelipost, it'll change the order status","When creating the order on Intelipost, it'll change the order status"
"If enabled, Intelipost can change Magento orders status automatically. You'll need to add a new webhook on Intelipost","If enabled, Intelipost can change Magento orders status automatically. You'll need to add a new webhook on Intelipost"
"With webhook enabled it'll create a shipment when there's an shipping event on Intelipost.","With webhook enabled it'll create a shipment when there's an shipping event on Intelipost."
"When an order is created in Intelipost, it's possible to change the order status and notify the customer","When an order is created in Intelipost, it's possible to change the order status and notify the customer"
"Quotes older than 3 months will be deleted automattically","Quotes older than 3 months will be deleted automattically"
"There was an error with the shipping quote, please contact us","There was an error with the shipping quote, please contact us"
"Quotes Intepolist","Quotes Intelipost"
"Status To Be Delivered","Status To Be Delivered"
"Status In Transit","Status Em Trânsito"
"Order shipped to Intelipost","Order shipped to Intelipost"
"Order mass shipped to Intelipost","Order mass shipped to Intelipost"
"Order set ready for shipment on Intelipost","Order set ready for shipment on Intelipost"
"Order created on Intelipost","Order created on Intelipost"
"Status for Created Orders on Intelipost","Status for Created Orders on Intelipost"
"After creating the order on Intelipost, the order will change to the selected status","After creating the order on Intelipost, the order will change to the selected status"
"[Intelipost Webhook] new status received: %1","[Intelipost Webhook] new status received: %1"
"Are you sure you want to set those order to Ready To Ship on Intelipost?","Are you sure you want to set those order to Ready To Ship on Intelipost?"
"Ready to Ship Orders","Ready to Ship Orders"
"Delivery %1 : %2","Delivery %1 : %2"
"%1 shipments sent","%1 shipments sent"
"%1 orders sent","%1 orders sent"
"Order mass updated to Ready To Ship on Intelipost","Order mass updated to Ready To Ship on Intelipost"
"Are you sure you want to ship selected items on Intelipost?","Are you sure you want to ship selected items on Intelipost?"
"Shipments successfully created","Shipments successfully created"
"Print Labels","Print Labels"
"Printing Labels","Printing Labels"
"Each 5 minutes","Each 5 minutes"
"Each 15 minutes","Each 15 minutes"
"Hourly","Hourly"
"Each 2 hours","Each 2 hours"
